genes,isoforms
AT1G01010,AT1G01010.1
AT1G01020,AT1G01020_P1
AT1G01020,AT1G01020_P5
AT1G01030,AT1G01030.1
AT1G01040,AT1G01040_P1
AT1G01046,AT1G01046.1
AT1G01050,AT1G01050_P1
AT1G01060,AT1G01060.2
AT1G01060,AT1G01060.3
AT1G01060,AT1G01060.4
AT1G01060,AT1G01060_JS31
AT1G01060,AT1G01060_P1
AT1G01060,AT1G01060_P7
AT1G01070,AT1G01070_P1
AT1G01080,AT1G01080_P1
AT1G01090,AT1G01090_P1
AT1G01100,AT1G01100_P2
AT1G01110,AT1G01110_P1
AT1G01110,AT1G01110_P2
AT1G01110,AT1G01110_s1
AT1G01120,AT1G01120_P1
AT1G01130,AT1G01130_ID1
AT1G01140,AT1G01140_P1
AT1G01160,AT1G01160.1
AT1G01160,AT1G01160_s1
AT1G01170,AT1G01170.1
AT1G01180,AT1G01180_P1
AT1G01190,AT1G01190_P2
AT1G01200,AT1G01200_P1
AT1G01210,AT1G01210_P3
AT1G01220,AT1G01220_P1
AT1G01220,AT1G01220_P4
AT1G01220,AT1G01220_P5
AT1G01220,AT1G01220_P6
AT1G01225,AT1G01225_P1
AT1G01230,AT1G01230_P1
AT1G01240,AT1G01240_P1
AT1G01250,AT1G01250_P1
AT1G01260,AT1G01260_P1
AT1G01260,AT1G01260_P3
AT1G01290,AT1G01290_P1
AT1G01290,AT1G01290_P2
AT1G01300,AT1G01300_P1
AT1G01320,AT1G01320_JC2
AT1G01340,AT1G01340_JS2
AT1G01340,AT1G01340_P2
AT1G01350,AT1G01350_P1
AT1G01360,AT1G01360_P1
AT1G01370,AT1G01370_P2
AT1G01370,AT1G01370_P3
AT1G01380,AT1G01380.1
AT1G01390,AT1G01390_P2
AT1G01420,AT1G01420_P2
AT1G01430,AT1G01430_P1
AT1G01440,AT1G01440_P1
AT1G01448,AT1G01448_ID1
AT1G01448,AT1G01448_ID3
AT1G01470,AT1G01470_P1
AT1G01480,AT1G01480_P1
AT1G01490,AT1G01490_P1
AT1G01500,AT1G01500_P1
AT1G01510,AT1G01510.1
AT1G01520,AT1G01520_P1
AT1G01520,AT1G01520_P2
AT1G01520,AT1G01520_P3
AT1G01520,AT1G01520_P5
AT1G01540,AT1G01540_P2
AT1G01550,AT1G01550_P1
AT1G01550,AT1G01550_P2
AT1G01560,AT1G01560_P2
AT1G01570,AT1G01570_P2
AT1G01580,AT1G01580_P2
AT1G01590,AT1G01590_P1
AT1G01600,AT1G01600_P1
AT1G01610,AT1G01610_P1
AT1G01620,AT1G01620_P1
AT1G01630,AT1G01630.1
AT1G01640,AT1G01640.1
AT1G01650,AT1G01650_P1
AT1G01660,AT1G01660_P2
AT1G01670,AT1G01670_P1
AT1G01680,AT1G01680_P1
AT1G01690,AT1G01690.1
AT1G01690,AT1G01690_P1
AT1G01690,AT1G01690_P2
AT1G01690,AT1G01690_P3
AT1G01700,AT1G01700_P4
AT1G01700,AT1G01700_P5
AT1G01710,AT1G01710.1
AT1G01710,AT1G01710_JC10
AT1G01710,AT1G01710_JC8
AT1G01720,AT1G01720_P1
AT1G01725,AT1G01725.1
AT1G01730,AT1G01730.1
AT1G01740,AT1G01740.1
AT1G01740,AT1G01740_P2
AT1G01740,AT1G01740_P3
AT1G01740,AT1G01740_P4
AT1G01740,AT1G01740_P5
